City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed
saskylakh,ru,71.92,114.08,1512795639,-7.94,65.0,44.0,6.85
shunyi,cn,40.12,116.65,1512793800,46.4,19.0,0.0,4.47
vostok,ru,46.49,135.88,1512795970,-2.36,68.0,44.0,2.53
nadym,ru,65.53,72.52,1512795641,16.95,86.0,80.0,7.85
kokopo,pg,-4.35,152.26,1512795971,79.59,100.0,80.0,5.28
hami,cn,42.8,93.45,1512795971,33.28,41.0,0.0,4.72
rikitea,pf,-23.12,-134.97,1512795638,75.31,100.0,92.0,12.1
saskylakh,ru,71.92,114.08,1512795639,-7.94,65.0,44.0,6.85
barrow,us,71.29,-156.79,1512791580,-0.41,77.0,90.0,19.46
clyde river,ca,70.47,-68.59,1512794400,10.4,85.0,90.0,18.34
kendari,id,-3.94,122.5,1512795972,79.54,100.0,24.0,3.76
jamestown,sh,42.1,-79.24,1512795360,24.8,73.0,40.0,10.29
karratha,au,-20.74,116.85,1512795972,100.78,30.0,0.0,11.14
dwarka,in,22.24,68.97,1512795680,77.79,90.0,0.0,11.25
chokurdakh,ru,70.63,147.92,1512795802,-4.61,69.0,64.0,10.31
bredasdorp,za,-34.53,20.04,1512792000,68.0,77.0,56.0,8.05
punta arenas,cl,-53.15,-70.92,1512792000,41.0,80.0,0.0,21.92
kapaa,us,22.08,-159.32,1512791760,75.2,94.0,90.0,6.93
lyngseidet,no,69.58,20.22,1512793200,30.2,58.0,0.0,8.05
cape town,za,-33.93,18.42,1512792000,64.4,82.0,20.0,25.28
qaanaaq,gl,77.48,-69.36,1512795974,24.42,91.0,76.0,11.81
rikitea,pf,-23.12,-134.97,1512795638,75.31,100.0,92.0,12.1
ponta do sol,cv,32.67,-17.1,1512793800,62.6,67.0,75.0,8.05
barrow,us,71.29,-156.79,1512791580,-0.41,77.0,90.0,19.46
bredasdorp,za,-34.53,20.04,1512792000,68.0,77.0,56.0,8.05
dikson,ru,73.51,80.55,1512795636,-0.43,100.0,32.0,26.69
yeppoon,au,-23.13,150.73,1512793800,84.2,58.0,88.0,8.05
saint-philippe,re,-21.36,55.77,1512793800,84.2,58.0,20.0,4.7
san cristobal,ec,7.77,-72.22,1512795600,78.8,69.0,40.0,4.7
puerto ayora,ec,-0.74,-90.35,1512795643,71.13,100.0,0.0,7.74
sistranda,no,63.73,8.83,1512795000,39.2,93.0,75.0,25.28
cayenne,gf,4.93,-52.33,1512793800,77.0,94.0,76.0,2.24
saskylakh,ru,71.92,114.08,1512795639,-7.94,65.0,44.0,6.85
kununurra,au,-15.77,128.73,1512793800,100.4,37.0,64.0,11.41
gamba,ga,-2.65,10.0,1512795977,75.54,96.0,80.0,4.5
krasnyy yar,ru,46.53,48.35,1512793800,30.2,63.0,75.0,8.95
kapaa,us,22.08,-159.32,1512791760,75.2,94.0,90.0,6.93
hobart,au,-42.88,147.33,1512793800,71.6,30.0,0.0,23.04
hilo,us,19.73,-155.09,1512794460,73.4,93.0,90.0,8.12
cabo san lucas,mx,22.89,-109.91,1512790980,68.0,37.0,5.0,3.36
new norfolk,au,-42.78,147.06,1512793800,71.6,30.0,0.0,23.04
vaini,to,-21.2,-175.2,1512795978,77.16,100.0,64.0,20.6
puerto ayora,ec,-0.74,-90.35,1512795643,71.13,100.0,0.0,7.74
kodiak,us,57.79,-152.41,1512791580,39.2,93.0,90.0,12.75
yellowknife,ca,62.46,-114.35,1512792000,8.6,84.0,75.0,8.05
